threshold,direction,day,mean_z,ci_low,ci_high,n_events
2.0,discount,2,-1.5345292981465868,-3.3999181225847654,-0.026057170695722786,84
2.0,discount,3,-1.380978071848032,-2.5662061736301145,0.11487878051820055,84
2.0,discount,4,-1.1922621999288476,-2.642199400449412,0.3350149785966627,84
2.0,discount,5,-1.0086513158474804,-2.480235900442419,0.4766512021829359,84
2.0,discount,6,-0.7781288599787947,-2.6711382115745956,1.226534045868041,84
2.0,discount,7,-0.5651207279724028,-2.54686633374979,1.3252293270514184,84
2.0,discount,8,-0.5576847768046639,-2.7293175451922522,1.438071702507588,84
2.0,discount,9,-0.44785959160776606,-2.361133128476282,1.6544823593638334,84
2.0,discount,10,-0.33099772593502624,-2.296108041897748,1.7164867370608772,84
2.0,discount,11,-0.30787999733994703,-1.655239895393012,1.3073989101752133,84
2.0,discount,12,-0.26361915106910055,-1.8871114941294826,1.5989183994876892,84
2.0,discount,13,-0.1333558464487096,-1.7176061635785709,1.9213043116181965,84
2.0,discount,14,-0.04799543870316682,-2.045944749934056,1.9867453441843141,84
2.0,discount,15,0.052284188096338786,-2.0346592513890185,1.9745527487411043,84
2.0,discount,16,0.08171627904693983,-1.991103623238391,1.717599698398815,84
2.0,discount,17,0.13083530452188155,-1.7136969956604737,1.7466265483521255,84
2.0,discount,18,0.16264872907652383,-1.8938930814080066,1.9910897187948018,84
2.0,discount,19,0.1597764052236473,-1.7706280169021267,2.0675198130039885,84
2.0,discount,20,0.05564289230668706,-1.8863966962345897,1.9327275016313137,84
2.0,premium,-5,0.37432952983278356,-1.400406696242507,1.8805083038557828,73
2.0,premium,-4,0.48292716174276584,-1.402939054236808,1.7922409485904902,73
2.0,premium,-3,0.6833570134522575,-1.325749949389902,1.9075168163964396,73
2.0,premium,-2,0.8774097618180235,-0.9316614701966239,1.8858962430114754,73
2.0,premium,-1,1.474153413303819,0.5849807197442405,1.961355384228775,73
2.0,premium,0,2.2942252723079544,2.008522212713795,2.9270118455196665,73
2.0,premium,1,1.9335461461841037,0.809540174959459,3.0026393502957767,73
2.0,premium,2,1.518195650546563,-0.7304180328208815,2.744255532116506,73
2.0,premium,3,1.264042078419326,-0.3268001219023181,2.828788359648118,73
2.0,premium,4,0.9801349193276422,-1.1454247994405153,2.489016743579473,73
2.0,premium,5,0.8159045133771422,-1.2746888749237066,2.568474067397996,73
2.0,premium,6,0.6990020871501138,-1.3942531689274567,2.459831999970152,73
2.0,premium,7,0.5839169022591942,-1.8676829447768453,2.0684048901685856,73
2.0,premium,8,0.48117156388202253,-2.0426662427944957,1.9013577498093035,73
2.0,premium,9,0.44131410943089006,-1.5777567943852975,2.046414846079108,73
2.0,premium,10,0.23850385844888375,-1.8438103418863958,2.6718987307791973,73
2.0,premium,11,0.14893091816608997,-1.9392079612124162,2.2592489191546474,73
2.0,premium,12,0.20286343791486894,-1.7127571256974459,2.4258280655985773,73
2.0,premium,13,0.23637781691780496,-1.6357352914349654,2.3297764486038286,73
2.0,premium,14,0.31748519039999207,-1.2466976233361151,2.541222673159038,73
2.0,premium,15,0.2061334552935668,-1.6134120125829503,2.0638249088877574,73
2.0,premium,16,0.3458948675517112,-1.6312483472959645,2.246472329740092,73
2.0,premium,17,0.14661381076330976,-1.7217598780063734,2.0078678768067997,73
2.0,premium,18,0.03398499456186157,-1.9876707373868565,2.1095386382852745,73
2.0,premium,19,0.08344927082558358,-1.9949312028562602,1.9173454470017197,73
2.0,premium,20,0.032328435828117424,-1.3582504052440112,1.700600738907409,73
2.5,discount,-5,-0.8672566326994219,-2.5367595077606735,1.000966781214398,33
2.5,discount,-4,-0.9978982773474857,-2.8335714503011755,1.9185282050935597,33
2.5,discount,-3,-0.9835886556213788,-2.449750183044171,1.079012485645275,33
2.5,discount,-2,-1.3279965031262222,-2.549146509502637,0.19155583249694247,33
2.5,discount,-1,-1.7860846592821813,-2.4487944237955532,-0.6764982469846369,33
2.5,discount,0,-2.766599775862303,-3.3046931892979496,-2.517724835785535,33
2.5,discount,1,-2.1116563061700857,-2.985520712872811,-1.294686139879989,33
2.5,discount,2,-1.7891139471380706,-3.5245545178428905,-0.48746165311280415,33
2.5,discount,3,-1.4936734138816519,-3.260360086394714,0.10963395229642843,33
2.5,discount,4,-1.3995165819634607,-3.1034394424165392,0.5527239347347882,33
2.5,discount,5,-1.0749945823109621,-2.9278078146964908,0.4762389201991875,33
2.5,discount,6,-0.7356310962063283,-2.750233501421264,1.2311401732847174,33
2.5,discount,7,-0.45383497047511756,-2.054985374040768,1.7065906607978636,33
2.5,discount,8,-0.32831687815129035,-2.109142065266294,1.656387989889672,33
2.5,discount,9,-0.08182918400662269,-1.655015976657731,1.7975192806937215,33
2.5,discount,10,-0.17635345715658532,-1.6211935887660711,1.3924556600032982,33
2.5,discount,11,-0.13432561278293587,-1.5478477745328367,1.5014707270768668,33
2.5,discount,12,0.021446225665653417,-1.8558019976157034,1.6310786516721383,33
2.5,discount,13,0.02773140594859696,-1.4966090643496917,1.7936132237035989,33
2.5,discount,14,0.11304778092052979,-1.4858686667392778,2.0764313618142523,33
2.5,discount,15,0.18582502687861963,-1.7754863982251154,2.1213962926909047,33
2.5,discount,16,0.19360779054712154,-2.3526159868533068,1.9896060158298225,33
2.5,discount,17,0.2039555551483874,-1.7947442448745643,2.08943549889059,33
