ticker,direction,entry_date,exit_date,entry_zscore,exit_zscore,holding_days,position_size,gross_return_pct,net_return_pct,exit_reason
HYG,long,2022-09-26,2022-10-24,-2.0105880905854474,0.376146851918483,20,0.39809945004157976,1.7676797949054412,0.6639024091973107,zero_cross
LQD,short,2022-10-03,2022-10-05,2.3678264261470376,-0.9989328691888828,2,0.46360673048400913,0.298074575570928,0.09182870637244572,zero_cross
JNK,short,2022-10-04,2022-10-18,2.363693030794229,-0.2696234256909304,10,0.3287132015866283,0.8095771790649686,0.23324738630325406,zero_cross
LQD,short,2022-10-14,2022-11-09,3.104083385134272,-0.3194366144263207,18,0.49692327289105237,-0.5280000231055793,-0.31206782685728096,zero_cross
JNK,short,2022-10-28,2022-11-28,2.0461904851009254,-0.183232568804993,20,0.4032381536447391,0.49213097727668353,0.158122171263957,zero_cross
TLT,long,2022-11-10,2022-12-09,-2.93230755482459,-0.0395437199141887,20,0.5863727385126779,8.223920438732502,4.763645475118692,time_stop
LQD,long,2022-11-17,2022-11-28,-2.115947351172272,0.156790975902858,6,0.4936078134249863,1.105649378491269,0.4963963907892718,zero_cross
AGG,long,2022-11-25,2022-12-20,-2.1183060102507807,0.0610073506237264,17,0.5595991958023814,0.03059850980899892,-0.03883701809837106,zero_cross
HYG,short,2022-12-15,2022-12-22,2.3884493054843308,-0.7155271923338322,5,0.512167202489292,1.0666707356770888,0.49509704642000046,zero_cross
LQD,long,2023-01-12,2023-01-31,-2.215394485867124,0.8060199522888261,12,0.5824415911721297,0.03609213648516629,-0.037222597713991036,zero_cross
HYG,long,2023-01-12,2023-01-25,-2.4799065748031035,0.1485060332402488,8,0.41635596058237795,-0.5741159249874395,-0.2806721834920236,zero_cross
JNK,long,2023-02-27,2023-03-07,-2.228817459329006,0.959088423139065,6,0.4756292706378581,-0.524241743488385,-0.29690764515708545,zero_cross
AGG,short,2023-03-10,2023-03-20,2.049693795816299,-0.1079506952951603,6,0.6470754617065629,-1.0296688489530803,-0.730980992011836,zero_cross
TLT,short,2023-03-21,2023-03-29,2.192669988296038,-1.0363112743768914,6,0.6294830568222723,0.6476193382626505,0.3447170950245632,zero_cross
TLT,long,2023-03-30,2023-04-10,-2.9850663553552743,0.1780599117267986,6,0.6472858644309306,1.8893088453072027,1.1581943226685831,zero_cross
AGG,short,2023-04-03,2023-04-11,2.195640459698928,-0.3492022640362399,5,0.5759458710048606,0.01002017257166754,-0.05182351008107798,zero_cross
JNK,long,2023-04-05,2023-05-01,-2.197890134455444,0.3737963311584682,17,0.5254570022326025,0.15308845743062793,0.02789570169465089,zero_cross
LQD,long,2023-04-26,2023-05-04,-2.359240641598415,0.2067192112733731,6,1.1674760807621734,-0.46584044628472654,-0.6606051865652117,zero_cross
AGG,long,2023-05-04,2023-05-09,-2.192183271615443,0.4172014305253963,3,0.6404175086079144,-0.9602871588980544,-0.6790264607104558,zero_cross
TLT,long,2023-05-17,2023-05-22,-2.0877926741722983,0.1252427509976338,3,0.6953723229600723,-1.7937258085797048,-1.3168445145615109,zero_cross
LQD,long,2023-05-17,2023-06-12,-2.037497625576593,0.3049742460290678,17,0.6737925198670319,-0.08396675551373134,-0.12395542376935921,zero_cross
HYG,long,2023-05-26,2023-06-13,-2.0826525492720425,0.3082535167366796,11,0.755661780273474,0.9592093300016424,0.64927165193662,zero_cross
TLT,long,2023-06-08,2023-06-14,-2.035501562477469,0.1586351696584429,4,1.0908222575569246,-0.03919352977095336,-0.15183540038206836,zero_cross
AGG,long,2023-06-13,2023-06-29,-2.679897677646747,0.6945544604505033,11,0.9810342303733428,0.040950978094156376,-0.057929111759697956,zero_cross
HYG,short,2023-06-28,2023-07-13,2.478577701230909,-0.0064207208644795,10,0.9890952146362092,-0.9878491891515351,-1.0759864272356636,zero_cross
JNK,short,2023-07-06,2023-07-19,2.0485759844518414,-0.3286168634512874,9,0.8578749723986206,-2.3309773404782463,-2.0854746188644477,zero_cross
TLT,short,2023-08-10,2023-08-22,2.3425807108038588,-0.1434582288359938,8,0.7754780102022166,2.468870249366839,1.837006787406225,zero_cross
AGG,short,2023-08-30,2023-09-28,2.2149598513629343,0.6058301263832772,20,0.7650447726468541,2.617428422137724,1.9259454548690838,time_stop
JNK,long,2023-09-08,2023-10-06,-2.448288800991952,-0.7052334401643717,20,0.8759712340508718,-2.699159832851994,-2.451983493088993,time_stop
HYG,short,2023-09-19,2023-10-06,2.1218000667268395,-0.0995991731524645,13,0.9000401901600049,2.377110750509681,2.0494911929041253,zero_cross
LQD,long,2023-10-04,2023-11-01,-2.830032388982004,-2.990544565862977,20,0.8159588439373293,-0.17928316976109082,-0.22788357232941253,time_stop
TLT,short,2023-10-11,2023-11-08,2.553955221796623,1.1985034377872672,20,0.6582473683365809,-1.2320519078229175,-0.8768196628121573,time_stop
LQD,long,2023-11-02,2023-11-20,-2.787302652011921,0.1000410337973591,12,0.6224038191426962,3.3527204158407375,2.024505609422694,zero_cross
JNK,short,2023-11-20,2023-12-14,2.035498348595484,-0.0302288828910163,17,0.6756616967780491,-3.5262045968768474,-2.450087550790172,zero_cross
AGG,long,2023-11-24,2023-12-22,-2.3661647396313485,-0.8654404372663079,20,0.6356574604396985,3.867577767904584,2.394888915955296,time_stop
JNK,short,2023-12-19,2024-01-19,2.0574418667341017,0.2469586739465986,20,0.8376322601580384,0.12698703342015616,0.02260520979868591,time_stop
HYG,long,2023-12-29,2024-01-29,-2.466714768824119,0.6024942040516436,19,0.815258665986646,0.5297889460433414,0.35038916280710103,zero_cross
LQD,short,2024-01-16,2024-02-13,2.6210785241919865,0.4366183353917891,20,0.9242551054266611,2.140501595703359,1.8859440174600783,time_stop
JNK,long,2024-02-09,2024-02-13,-2.0884773305823283,0.0645461803491526,2,1.0234445931518419,-1.0343043344945624,-1.1608976381271583,zero_cross
JNK,long,2024-02-15,2024-02-29,-2.194409424003789,0.2354118669062181,9,0.9658713992737343,0.21182438203277698,0.10800797234691893,zero_cross
TLT,short,2024-02-21,2024-03-20,2.068633948482321,0.7230018059868385,20,0.8468174375721981,-0.7702311587351796,-0.7369269199356094,time_stop
LQD,long,2024-03-11,2024-03-25,-2.865622260344459,0.2806730369685022,10,1.2621609734529022,-0.6786480718601773,-0.9827792083562668,zero_cross
JNK,long,2024-03-15,2024-03-26,-2.2722884224120827,0.1446891645616611,7,1.5671274511983395,0.5086855918125188,0.6404624098386376,zero_cross
HYG,short,2024-03-27,2024-04-03,2.285660567807592,-0.1370024952976939,4,1.4745637653873493,1.2195180475331857,1.6508007475896278,zero_cross
HYG,long,2024-04-11,2024-04-22,-2.116654620569272,0.5536539435012883,7,0.9172934352521679,-0.013090087359113323,-0.10373679472660882,zero_cross
AGG,long,2024-04-19,2024-05-03,-2.019417008736755,0.1775358579123783,10,0.7556108696021618,0.8492401041238828,0.5661339666178613,zero_cross
HYG,short,2024-05-13,2024-06-10,2.3891519944756783,-0.1689890319586803,19,0.9570212713942119,-0.10406065805514952,-0.19529039041347873,zero_cross
AGG,short,2024-06-03,2024-06-18,2.109125378040952,-0.7729451683069112,11,1.056270040430948,-1.157019712683982,-1.3277522627392084,zero_cross
JNK,long,2024-06-04,2024-06-14,-2.293347357532519,0.2815492120555258,8,1.248124819189711,0.11697214938393152,0.02118336088108028,zero_cross
JNK,short,2024-07-05,2024-07-25,2.074039298013927,-0.0746716889345137,14,1.171257443469734,-0.7294666118195625,-0.971518943203283,zero_cross
TLT,short,2024-07-09,2024-07-17,2.743565272515946,-0.0640731319304515,6,0.8094983011377381,-1.9924244696124749,-1.6938140534103312,zero_cross
TLT,short,2024-07-22,2024-08-16,2.0094511685142065,-0.0103684514468921,19,0.9127275421884198,-5.169995506356684,-4.810070045860953,zero_cross
AGG,short,2024-07-31,2024-08-14,2.576563838850245,-0.1436076028701838,10,1.1451983559277457,-1.2006885622821262,-1.489546403099514,zero_cross
HYG,short,2024-08-27,2024-09-04,2.130513338509791,-0.1793056338428704,5,0.997175527599029,0.403581398826236,0.3027239415438031,zero_cross
LQD,short,2024-08-30,2024-09-25,2.1820932995597304,-0.390747857568594,17,1.0883294735759559,-1.4387181793840131,-1.6746323461507562,zero_cross
JNK,long,2024-09-10,2024-09-16,-2.530764340137557,0.3073251287150377,4,1.077706532992943,0.7876486196045862,0.7410834097514416,zero_cross
AGG,long,2024-10-07,2024-10-18,-2.1620028068468717,0.1428353212528639,9,1.300468403272378,-0.10038757353785233,-0.26059770779439706,zero_cross
JNK,short,2024-10-11,2024-10-22,2.2980968409150493,-0.4689608487041933,7,1.459015733263704,0.2686249961474707,0.24602652240069117,zero_cross
HYG,long,2024-11-08,2024-11-29,-2.1990766586609225,0.6990756995921393,14,1.2790822999997324,0.3007491912172755,0.2567747372252788,zero_cross
AGG,long,2024-11-14,2024-11-20,-2.168100976849902,0.3371848268555803,4,0.8441679891686621,0.143368548346956,0.03661034025121376,zero_cross
LQD,short,2024-11-26,2024-12-11,2.2258382823648253,-0.0195124154505932,10,0.7740984932200041,-0.43847238712582115,-0.41683066351467685,zero_cross
