ticker,threshold,direction,horizon,n_events,mean_fwd_ret_pct,median_fwd_ret_pct,ci_low_pct,ci_high_pct,t_stat,p_value
AGG,2.0,premium,3,16,-0.020788050094655564,-0.17262642984636756,-0.4185370363050166,0.3681526441871627,-0.10262390703822738,0.9196208609542643
AGG,2.0,premium,5,16,-0.2628235445010153,-0.2651524231981339,-0.6295893770224462,0.1182774572756638,-1.3078987551899297,0.21059785793898642
AGG,2.0,premium,10,16,-0.6220417526721734,-0.5738999770064868,-1.4039519309219581,0.08144277473679316,-1.5664638679453258,0.1380897191439724
AGG,2.0,premium,20,16,-1.102106070107877,-1.0442185574409402,-2.0162739885980923,-0.17537621117090915,-2.3180589177417787,0.03498043923509854
HYG,2.0,premium,1,12,-0.2767418017234827,-0.19778762530034966,-0.473829957582758,-0.11649644897559755,-2.9110027410118335,0.014163598270936379
HYG,2.0,premium,3,12,-0.35320815613303636,-0.4222972224271815,-0.7129854170762592,0.07369705503845303,-1.7143123299212082,0.11447138255827394
HYG,2.0,premium,5,12,-0.8079175728141014,-1.1242548307972,-1.1701882776427073,-0.3793444551950634,-3.9046875546083544,0.00245668243569459
HYG,2.0,premium,10,12,-1.2046003697618843,-1.1115454234982947,-1.887941811308873,-0.5483362923985421,-3.2990337979115365,0.007090135578291522
HYG,2.0,premium,20,12,-0.6970005032361254,-0.5960588120705768,-1.6778234747075536,0.27755691194376825,-1.3159603875116972,0.21495192393634158
JNK,2.0,premium,1,17,-0.09754614351727714,0.06198735202627148,-0.31365221375182234,0.08047818775800555,-0.92040375496019,0.37103133360295365
JNK,2.0,premium,3,17,-0.4230540336706902,-0.11213475895965885,-0.9022040651516269,0.02876486119502219,-1.7059134025544513,0.10735693594152232
JNK,2.0,premium,5,17,-0.19696184712750023,0.1652759695738304,-0.9543283772502795,0.5307891713344843,-0.5023890365847853,0.6222376533639773
JNK,2.0,premium,10,17,0.017487958736083678,-0.30621038038169957,-0.5240933055978358,0.5517007240882477,0.06143886076525787,0.9517706333200467
JNK,2.0,premium,20,17,0.16589221792088868,0.21144368895233967,-0.4344194523305729,0.7856609509465994,0.5224859210428925,0.6084912574981901
LQD,2.0,premium,1,14,-0.010505827884118737,-0.049657393218560664,-0.2565170685250486,0.2326388076613109,-0.08019204890115492,0.9373058874736446
LQD,2.0,premium,3,14,-0.13045731646552888,-0.30534589638077647,-0.38171758760995844,0.16689346729521953,-0.9056787708071344,0.38158534009810985
LQD,2.0,premium,5,14,-0.15595859189060288,-0.4001833326705062,-0.7639944487447045,0.527515997354882,-0.4401726426820312,0.6670419110873488
