ticker,date,direction,vix_regime,oas_regime,magnitude_pct,days_to_zero,fwd_ret_5d,hit
LQD,2025-06-18,discount,medium,wide,1.2253287492842877,9.0,0.010550665038874252,1.0
LQD,2025-11-06,discount,medium,tight,0.4097060899154341,12.0,-0.003425558932413142,0.0
LQD,2026-01-02,discount,low,tight,0.7011260398089884,9.0,0.0043572595459540064,1.0
LQD,2026-03-31,discount,high,wide,0.7232527781465502,4.0,0.004587576931829762,1.0
LQD,2026-05-08,discount,medium,wide,0.5964894226614783,12.0,-0.01227102907819455,0.0
LQD,2022-05-02,premium,high,wide,0.5982540047318682,18.0,-0.004298024316098936,1.0
LQD,2022-10-03,premium,high,tight,0.5694543234063297,2.0,-0.024038461538461564,1.0
LQD,2022-10-14,premium,high,tight,0.9919549939011348,18.0,-0.008965868909243446,1.0
LQD,2022-11-03,premium,high,tight,1.1036148019558374,4.0,0.03339281418674278,0.0
LQD,2024-01-16,premium,low,wide,0.8160961595629895,20.0,-0.003933409315552194,1.0
LQD,2024-02-02,premium,low,wide,0.928802795053934,10.0,-0.013318728771133825,1.0
LQD,2024-08-30,premium,low,wide,0.9812023997821974,17.0,0.012319060856581743,0.0
LQD,2024-11-26,premium,low,wide,1.3985163483473249,10.0,0.009226291449419,0.0
LQD,2025-06-12,premium,medium,wide,0.6169103435573372,2.0,-0.0027665349041272602,1.0
LQD,2025-07-08,premium,medium,tight,0.5505219054686752,8.0,-0.00407025733785793,1.0
LQD,2025-08-13,premium,low,tight,0.8866051736579851,18.0,-0.004534735990502026,1.0
LQD,2025-12-04,premium,medium,tight,1.4166719042916185,3.0,-0.001171531777799495,1.0
LQD,2026-04-14,premium,medium,wide,0.6636953415210565,2.0,-0.0033642729158791518,1.0
LQD,2026-04-28,premium,medium,wide,0.7400662654961074,5.0,-0.006310543580772099,1.0
TLT,2021-09-23,discount,medium,tight,1.0251753254147775,12.0,-0.027231014218875194,0.0
TLT,2022-07-05,discount,high,tight,0.8255796237788753,8.0,-0.013792517468097176,0.0
TLT,2022-11-10,discount,medium,tight,0.9070974526780936,20.0,0.021170502097248578,1.0
TLT,2022-11-18,discount,medium,wide,1.1410968190189164,20.0,0.03562829258835398,1.0
TLT,2022-11-29,discount,medium,tight,1.234961684550118,16.0,0.048734981640601305,1.0
TLT,2023-03-30,discount,medium,tight,0.5282795796711066,6.0,0.03559156124925811,1.0
TLT,2023-05-17,discount,medium,wide,0.623621670272062,3.0,-0.019984431810930126,0.0
TLT,2023-06-08,discount,low,tight,0.8019847007067956,4.0,0.009210292611133708,1.0
TLT,2024-12-13,discount,low,wide,0.6580499596280251,6.0,-0.020410470728133623,0.0
TLT,2025-01-07,discount,medium,wide,0.76691028618065,17.0,0.009776582695374847,1.0
TLT,2025-06-25,discount,medium,tight,0.6325032411735853,10.0,0.0007999050750249204,1.0
TLT,2022-01-07,premium,medium,wide,0.8036650674736643,4.0,-0.0011246197771547228,1.0
TLT,2022-04-18,premium,medium,tight,1.340304822426304,7.0,0.008655854368036175,0.0
TLT,2023-03-21,premium,medium,tight,1.0174875483400636,6.0,-0.004476202101934557,1.0
TLT,2023-08-10,premium,medium,tight,0.8226178840889158,8.0,-0.02249182946806072,1.0
TLT,2023-10-11,premium,medium,tight,1.233188599997919,20.0,-0.04487398175568347,1.0
TLT,2024-02-21,premium,medium,wide,0.5509744624260337,20.0,0.01453673609735695,0.0
TLT,2024-07-09,premium,low,wide,1.0220570800196336,6.0,0.01970763102215156,0.0
TLT,2024-07-22,premium,low,wide,0.8569412142981939,19.0,0.009066339169524928,0.0
TLT,2024-12-24,premium,low,wide,0.6334406431016041,5.0,-0.0034141691405543684,1.0
TLT,2025-05-02,premium,medium,wide,1.160345064185099,10.0,-0.0077510575533568105,1.0
TLT,2025-05-21,premium,medium,wide,1.068861897891058,11.0,0.025961656228228103,0.0
TLT,2025-07-21,premium,medium,tight,1.3196842843141436,6.0,-0.0015115959699764092,1.0
TLT,2025-10-20,premium,medium,tight,1.0852213846738668,15.0,0.002512241615208355,0.0
TLT,2026-03-18,premium,high,wide,0.8078541454721753,11.0,-0.001379976401166494,1.0
